Show;Name;Acronym;Tag1;Tag2;Tag3;Description
YES;Access Token;AT;security;;;A token used to access protected resources on behalf of an authenticated user. It is commonly used in OAuth 2.0 and OpenID Connect.
YES;Accessor;;arsenal;darwin;;An accessor is a method or property used to access or modify the internal state of an object. It provides controlled access to private or protected data.
YES;Aggregation;;arsenal;;;Aggregation refers to the process of combining data from multiple sources or records into a single result. It is commonly used in databases, analytics, and reporting.
YES;Amazon Web Services;AWS;app360;;;AWS (Amazon Web Services) is Amazon’s cloud computing platform. It offers a wide range of services, including storage, compute, and databases.
YES;Amazon Web Services Software Development Kit;AWS SDK;app360;;;A set of platform-specific building tools for developers to integrate and interact with AWS services in their applications. It provides APIs and libraries for AWS resources.
YES;Angular;;front;darwin;;Angular is a popular open-source framework for building dynamic web applications. It uses TypeScript and provides features like data binding, routing, and dependency injection.
YES;Angular Web Mapping Framework;Angular WMF;front;darwin;; is an extension of Angular for building interactive web maps and geospatial applications.
YES;API - Backend Implementation;;api;;;Software that implements a specification of requirements and its associated infrastructure. There are different implementation patterns depending on each use case.
YES;API - Consumer;;api;;;App that consumes an API.
YES;API - Consuming;;api;;;To consume an API means to use the API's endpoints to interact with it from another piece of software. This typically involves these steps: Understanding the API, sending requests, handling responses, handling errors. By consuming an API, a software application can leverage the functionality provided by the API, such as retrieving data, creating or modifying resources, or triggering actions.
YES;API - Consumption Plans;;api;;;Options that allow limiting the number of requests per second for each API / operation. They are defined closely linked to throttle policies (consumption per unit of time).
YES;API - Definition;;api;;;"To define an API means to specify the methods and data formats that a program (typically a software library or service) will accept from other programs. This includes: Specifying the endpoints or URLs for the API (if it's a web-based API), defining the data types and structures that the API will accept as input or return as output, documenting the functionality of each method or endpoint, including what it does and any side effects it might have; setting up any necessary authentication or permission systems to control who can use the API and how; testing the API to ensure it works as expected and handles errors gracefully. This means: by defining an API, the contract created so other developers can rely on when integrating their software."
YES;API - Deployment;;api;;;To deploy an API  means to make it live and accessible on a server so that it can be used by other software applications. The process typically involves: Packaging choosing a deployment platform, configuring the server, uploading and starting the API and monitoring. By deploying an API with the Gluon pipelines, you make it available for other systems to interact with it, allowing data exchange and integration of services.
YES;API - Developer Portal;;api;;;Gives managed visibility to the produced APIs from the Producer Organization. Provides services as: APIs subscription, Socialization. Discovery. Feedback. Management of Consumer Organization.
YES;API - Entity;;api;;;Business object that has a sufficient relevance to identify itself as a product. A single entity is defined by an API.
YES;API - Implementation;;api;;;To implement an API  means to write the code that fulfills the contract defined by the API. It involves the following steps:  Understanding the API design, writing the code, testing, optimizing. Once an API is implemented, it means that the microservices which cover the business logic are ready to return the requested data.
YES;API - Portfolio;;api;;;Catalogue of APIs of an organization
YES;API - Producer;;api;;;An API producer builds and provides APIs for API consumers (app developers) to use.
YES;API - Resources;;api;;;A resource exposes a set of endpoints related to the same business entity.
YES;API - Publish;;api;;;"To publish an API means to make it available for other developers to use. This process typically involves the following steps: Design; development; document creation; deploying, version set, monitoring and maintenance. By publishing an API, a service allows other software to interact with it programmatically, enabling integration and data exchange between different systems."
YES;API - Specification;;api;;;Document detailing the contract for an API and how to interact with it.
YES;API - Sub-entity;;api;;;Business object that have no business relevance by themselves. It is an object that is hierarchically related to an entity.
YES;API - Subscription;;api;;;To subscribe to an APItypically means to register or sign up to use that API. This process often involves: Signing up for an API key, accepting the terms of use, setting up a callback URL, handling API updates. Once you've subscribed to an API, your software application can begin consuming the API, meaning it can start making requests to the API's endpoints and using the data it receives in response.
YES;API - Terms;;api;;;Yaml parameters in URL, query, body or header in an API definition.
YES;API Connect (IBM);;api;;;IBM API Connect is a full lifecycle API management solution that allows you to consistently create, manage, secure, socialize, and monetize APIs. It promotes digital transformation across clouds and on-premises environments.
YES;API Gateway;;api;;;"Piece of software where APIs transactions are ""physically"" processed. It allows different consumption models related to the logical entities. It is unique by entity and consumer case. Included features: Authentication, Security policy enforcement, Load balancing, Cache management, Dependency resolution, Contract and service level agreement (SLA) management."
YES;API Gateway policy;;api;;;An API Gateway policy defines rules and actions for managing API traffic. It can enforce security, rate limiting, authentication, and other policies.
YES;API Governance;;api;;;API governance is the practice of defining and applying standards, policies, and processes that ensure your APIs are standardized, reliable, and secure. It provides guardrails for creating, managing, and securing APIs.
YES;API Instance;;api;;;API deployed in a local gateway that implements exactly the same interface defined in the API published in Gluon catalog.
YES;API Management;;api;;;Process of creating and publishing APIs, enforcing their usage policies, controlling access, nurturing the subscriber community, collecting and analysing usage statistics, and reporting on performance. Implies the cataloguing of the API for its consumption (publishing), exposure (promoting), control, monitoring (overseeing) and execution in a safe, reliable and scalable environment.
YES;API Manager;;api;;;Used to define and develop APIs. Manages the API environment. Unifies the API vision.
YES;API Operation;;api;;;Each endpoint in a resource, identified by an HTTP Verb (GET, POST, PUT, DELETE, PATCH, OPTIONS, HEAD), providing the entry point of each functionality.
YES;Apigee;;api;;;Apigee, now part of Google Cloud, is an API management platform that helps build, secure, and analyze APIs. It allows organizations to create, manage, and optimize APIs for various use cases, including mobile apps and microservices.
YES;App Developer;;api;;;Software teams who build apps which consume APIs.
YES;Appium;;testing;;;An open-source tool for automating mobile applications (iOS, Android, and Windows). It allows testing of native, hybrid, and mobile web apps.
YES;Application Lifecycle Management;ALM;gluon;;;Application Lifecycle Management (ALM) refers to the process of managing software applications from their initial concept and development through deployment, maintenance, and eventual retirement. ALM encompasses requirements management, design, development, testing, deployment, and ongoing support.
YES;Application Performance Management;APM;testing;;;Application Performance Management (APM) tools monitor and optimize the performance of software applications. APM solutions track metrics, diagnose issues, and improve user experience.
YES;Application Porfolio Management;APM;gluon;itsm;;Application Performance Management (APM) tools monitor and manage the performance of software applications. They track metrics, diagnose issues, and optimize performance.
YES;Application Programming Interface;API;api;;;An Application Programming Interface (API) is a set of rules and protocols that allows different software applications to communicate with each other. APIs define how requests and responses should be structured, enabling data exchange between systems.
YES;Artifactory;;app360;devops;;Artifactory is a binary repository manager for storing and managing artifacts (e.g., JAR files, Docker images).
YES;Artificial Intelligence for IT Operations;AIOPs;observability;;;Artificial Intelligence for IT Operations (AIOps) refers to using AI and machine learning to enhance IT operations, including monitoring, incident management, and automation.
YES;As Soon As Possible;ASAP;;;;An acronym used to prioritize tasks or requests that need immediate attention or completion.
YES;asynchronous;async;microservice;darwin;;Async (asynchronous) refers to programming techniques where tasks or operations can run independently without blocking the main execution thread. It is commonly used for I/O-bound operations.
YES;Asynchronous JavaScript and XML;AJAX;front;;;Asynchronous JavaScript and XML (AJAX) is a technique for updating web content without reloading the entire page. It uses JavaScript to make asynchronous requests to the server.
YES;ATLAS;;apm;;;Application Technical inventory platform. Legacy platform that is being replaced by Gluon ITSM.
YES;Atlassian;;sdlc;tools;alm;Atlassian develops software tools for collaboration, project management, and software development.
YES;Auditable;;qa;;;Auditable refers to the capability of tracking and recording changes or events in a system. It is commonly used for compliance, security, and debugging purposes.
YES;Authentication;;security;;;The process of verifying the identity of a user, system, or application. It ensures that the claimed identity is valid and authorized to access specific resources.
YES;Authorization;;security;;;The process of granting or denying access to specific resources based on the authenticated user’s permissions. It defines what actions a user can perform.
YES;Automations;;app360;;;Automations refer to processes or tasks that are performed automatically by software or scripts. They improve efficiency and reduce manual effort.
YES;AWS Secure Storage Service;AWS S3;app360;;;Amazon Simple Storage Service (S3) is an object storage service provided by Amazon Web Services (AWS). S3 allows storing and retrieving data, such as files and images.
YES;Azure;;app360;;;Azure is Microsoft's cloud computing platform. It provides services for building, deploying, and managing applications and services.
YES;Backend as a Service;BaaS;api;microservice;;Backend as a Service (BaaS) provides cloud-based backend services for mobile and web applications. BaaS platforms offer features like authentication, databases, storage, and APIs.
YES;Banco Central do Brazil;BACEN;arsenal;;;Banco Central do Brasil (BACEN) is the Central Bank of Brazil. It regulates monetary policy, banking, and financial stability in Brazil.
YES;Banking Industry Architecture Network;BIAN;apm;;;Banking Industry Architecture Network (BIAN) is a nonprofit organization that defines a standardized framework for banking services and IT architecture. BIAN aims to improve interoperability and reduce complexity in the banking industry.
YES;BankSphere;BKS;gluon;api;microservice;BabkSphere is a framework (legacy) for developing web applications based on java.
YES;BASE64;;security;front;;BASE64 is an encoding scheme that represents binary data as ASCII characters. It's commonly used for encoding binary files in text-based formats.
YES;Behavior-Driven Development;BDD;testing;;;Behavior-Driven Development (BDD) is a software development approach that focuses on defining behavior using natural language specifications. BDD tools include Cucumber and SpecFlow.
YES;Best Current Practice 47;BCP47;api;;;BCP47 (Best Current Practice 47) is a standard that defines language tags for identifying languages, dialects, and language variations. BCP47 tags are commonly used in localization and internationalization.
YES;BIAN - Business Area;;api;;;Group of specialized functionalities of a certain area.
YES;BIAN - Business Domain;;api;;;Subdomain of a certain area Group of specialized functionalities.
YES;BIAN - Service Domain;;api;;;Global APIs for a certain area or subdomain of specialized functionalities.
YES;Block, Element, Modifier;BEM ;front;;;BEM (Block, Element, Modifier) is a naming convention for writing modular and maintainable CSS. It helps organize styles in a predictable way.
YES;Boolean;;gluon;;;Boolean is a data type that represents true or false values. It is used for logical operations and conditional expressions.
YES;Bootstrap;;front;;;Bootstrap is a popular front-end framework for building responsive and mobile-first web applications. It provides pre-designed components and utilities.
YES;Cache;;microservice;api;;Caching involves storing copies of frequently accessed data to improve performance. It reduces the need to fetch data from the original source repeatedly.
YES;Cadastro de Pessoas Físicas;CPF;;;;Cadastro de Pessoas Físicas (CPF) is the Brazilian individual taxpayer identification number. It is used for tax purposes and financial transactions.
YES;Cadastro Nacional da Pessoa Jurídica;CNPJ;;;;Cadastro Nacional da Pessoa Jurídica (CNPJ) is the Brazilian corporate taxpayer identification number. It identifies legal entities for tax and business purposes.
YES;Cascade style Sheet;CSS;front;;;Cascading Style Sheets (CSS) and SCSS (Sass CSS) are stylesheet languages used for styling web content.
YES;Central Processing Unit;CPU;gluon;;;Central Processing Unit (CPU) is the primary component of a computer that executes instructions. It performs arithmetic, logic, and control operations.
YES;Centro Nacional de Automaçao Bancária;CNAB;;;;Centro Nacional de Automaçao Bancária (CNAB) is a standard format for electronic files used in Brazilian banking transactions. It defines layouts for data exchange.
YES;Certification Environment;CERT;app360;;;Certification environment: Also known as Integration or Testing environment, is where the stories developed are reviewd and validated by the product owner with end to end functional configuration.
YES;Channel Operational Security API Control;COSAC;security;api;;The Channel Operational Security API Control (a.k.a COSAC) establishes the mechanisms to perform controls on contracts, channel clients, operations and users.
YES;Chief Information Security Officer;CISO;security;;;The Chief Information Security Officer (CISO) is a senior executive responsible for an organization’s information security strategy and management.
YES;Chief Technology Officer;CTO;gluon;;;Chief Technology Officer (CTO) is an executive responsible for technology strategy, innovation, and technical leadership within an organization. The CTO oversees technology development and implementation.
YES;Codespaces;;app360;;;Codespaces is a feature provided by GitHub that allows developers to create and manage development environments directly within a GitHub repository. It provides an online IDE (Integrated Development Environment) for code editing, debugging, and collaboration.
YES;Collector;;arsenal;;;A collector is a component or process that gathers and aggregates data from various sources. It is commonly used in monitoring and logging systems.
YES;Comma Separated Values;CSV;gluon;;;Comma-Separated Values (CSV) is a plain text format for representing tabular data. It uses commas to separate values in each row.
YES;Command Line Interface;CLI;gluon;;;Command Line Interface (CLI) is a text-based interface for interacting with a computer or software. Users enter commands to perform tasks without a graphical user interface.
YES;Command Pormpt;CMD;gluon;;;CMD (Command Prompt) is a command-line interpreter in Windows operating systems. It allows users to execute commands and scripts.
YES;Common Weakness Enumeration ;CWE;security;;;Common Weakness Enumeration (CWE) is a community-developed list of software weaknesses and vulnerabilities. It provides a common language for discussing security issues.
YES;ConfigMap;;microservice;darwin;;In Kubernetes, a ConfigMap is an API object used to store configuration data (such as environment variables or configuration files) separately from application code.
YES;Configuration as Code;CASC;infrastructure;;;Configuration as Code (CASC) is an approach where system configurations are defined and managed using code (e.g., YAML or JSON files).
YES;Configuration Management Database;CMDB;apm;;;Configuration Management Database (CMDB) is a database that stores information about an organization’s IT assets, including hardware, software, and relationships.
YES;Configuration Settings;Config;app360;;;Typically refers to configuration settings or parameters used by software applications. It includes environment-specific values, connection strings, and other runtime options.
YES;Container;;app360;;;A container is a lightweight, standalone executable package that includes everything needed to run a piece of software, including the code, runtime, system tools, and libraries.
YES;Content Security Policy;CSP;security;;;CSP adds an extra layer of security to detect and mitigate attacks like XSS and data injection. It specifies which origins are allowed to load content.
YES;Continuous Deployment;CD;app360;testing;;Continuous Deployment (CD) is an extension of CI, where code changes are automatically deployed to production environments after passing automated tests. CD ensures rapid and reliable software delivery.
YES;Continuous Integration;CI;app360;testing;;Continuous Integration (CI) is a software development practice where code changes are automatically built, tested, and integrated into a shared repository multiple times a day. CI helps identify and fix issues early in the development process.
YES;Control Reversal;CR;microservice;darwin;;Control Reversal (CR) refers to the reversal of control flow in a program. It often involves inversion of control, where a framework or container manages the flow of execution.
YES;Cookiecutter;;front;;;Cookiecutter is a template-based project generator for creating new projects based on predefined templates.
YES;Create, Read, Update and Delete Operations;CRUD;api;microservice;;CRUD stands for Create, Read, Update, and Delete. It represents the basic operations for managing data in a database or API.
YES;Cronjob;;;;;Cronjobs are scheduled tasks or scripts that run automatically at specified intervals using the cron syntax. They are commonly used for maintenance and automation.
YES;Cross-Origin Resource Sharing;CORS;front;security;;Cross-Origin Resource Sharing (CORS) is a security mechanism that allows or restricts web browsers from making requests to a different domain. CORS headers define which origins are permitted to access resources.
